category_id,name,product_slug,brand,model,description,manufacturer,thumbnail_image,rating,price
1,LG 50 Class 4K UHD Smart LED TV - 50UQ7570PUJ,LG 50 Class 4K UHD Smart LED TV - 50UQ7570PUJ,LG Electronics,LG Electronics,"['Real 4K Display w/ 4K UHD Resolution', 'A5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'WebOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM', 'Works with Google Assistant, Amazon Alexa, Apple Airplay 2 & Homekit (separate device purchase necessary)']",LG Electronics,https://target.scene7.com/is/image/Target/GUEST_fb8f6716-b64d-4883-9a6f-6e9942a8510b,4.49,299.99
1,Samsung 43 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung 43 Smart 4K Crystal HDR UHD TV TU7000 Series - Titan Gray,Samsung,Samsung,"['Crystal Processor 4K - This ultra-fast processor transforms everything you watch into stunning 4K.', 'Smart TV Powered by Tizen - Go beyond Smart TV with next-gen apps, super-easy control and a host of enhancements that elevate the TV-watching experience.', ""HDR - unveils shaded of color you can't find on HDTV."", 'Crystal Display - Experience crystal-clear colors that are fine-tuned to deliver a naturally crisp and vivid picture.', 'Universal Guide - One simple on-screen guide organizes your streaming and live TV content, while also making recommendations.', 'Game Enhancer - The TV automatically adjusts settings to help games run smoothly.', 'Boundless Design - An ultra-thin bezel on all sides for a stunningly clean look.']",Samsung,https://target.scene7.com/is/image/Target/GUEST_4e327478-bf8d-4c8f-a90a-7c561597896c,4.51,279.99
1,LG 55 Class 4K UHD Smart LED TV - 55UQ7570PUJ,LG 55 Class 4K UHD Smart LED TV - 55UQ7570PUJ,LG Electronics,LG Electronics,"['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM', 'Works with Google Assistant, Amazon Alexa, Apple Airplay 2 & Homekit (seperate device purchase necessary)']",LG Electronics,https://target.scene7.com/is/image/Target/GUEST_b314cad2-f9a0-4f83-99cb-5ef87d27b873,4.16,349.99
1,Amazon Fire TV Stick with 4K Ultra HD Streaming Media Player and Alexa Voice Remote (2nd Generation),Amazon Fire TV Stick with 4K Ultra HD Streaming Media Player and Alexa Voice Remote (2nd Generation),Amazon,Amazon,"['Cinematic experience - Watch in vibrant 4K Ultra HD with support for Dolby Vision, HDR, and HDR10+.', 'Home theater audio with Dolby Atmos - Feel scenes come to life with support for immersive Dolby Atmos audio on select titles with compatible home audio systems', 'Endless entertainment - Stream more than 1 million movies and TV episodes from Netflix, Prime Video, Disney+, Peacock, and more, plus listen to millions of songs. Subscription fees may apply.', 'Live and free TV - Watch live TV, news, and sport with subscriptions to SLING TV, YouTube TV, and others. Stream for free with Pluto TV, IMDb TV, YouTube and more.', 'Alexa Voice Remote - Search and launch content with your voice. Get to favorite apps quickly with preset buttons. Control power and volume with one remote.', 'Control your smart home - Ask Alexa to check weather, dim the lights, view live camera feeds, stream music and more.', 'Simple and intuitive - Quickly access your favorite apps, live TV, and things you use most, all from the main menu.', 'Easy to set up, compact enough to stay hidden - Plug in behind your TV, turn on the TV, and connect to the internet to get set up']",Amazon,https://target.scene7.com/is/image/Target/GUEST_62518b81-d44c-4fa3-9577-990b1be8d159,4.68,24.99
1,TCL 50 4k UHD HDR Smart Roku TV- 50S455,TCL 50 4k UHD HDR Smart Roku TV- 50S455,TCL,TCL,"['Stream free TV, live news, sports, movies, and more', 'Easy Voice Control works with Siri, Alexa and Hey Google', 'Share videos, photos, and music from your Apple device using AirPlay', 'Works seamlessly with Alto Sound Bars featuring Roku TV ReadyTM', 'Dual-band WiFi & Ethernet port', '4 HDMI inputs (1 ARC)']",TCL,https://target.scene7.com/is/image/Target/GUEST_bbed77ae-63c0-47b0-90ae-355015af0526,4.43,269.99
1,TCL 32 Class 3-Series HD 720p LED Smart Roku TV &#8211; 32S355,TCL 32 Class 3-Series HD 720p LED Smart Roku TV &#8211; 32S355,TCL,TCL,"['Stream free TV, live news, sports, movies, and more', 'Easy Voice Control works with Siri, Alexa and Hey Google', 'Share videos, photos, and music from your Apple device using AirPlay', 'Works seamlessly with Alto Sound Bars featuring Roku TV ReadyTM', 'Dual-band WiFi & Ethernet port', '4 HDMI inputs (1 ARC)']",TCL,https://target.scene7.com/is/image/Target/GUEST_9cb8c3a4-587c-4521-a3de-e3cb30a2676e,4.53,139.99
1,VIZIO V-Series 2.0 Home Theater Sound Bar - V20XT-K6,VIZIO V-Series 2.0 Home Theater Sound Bar - V20XT-K6,VIZIO,VIZIO,"['Your TV craves an audio upgrade. - Treat yourself – and your TV – to better audio with 2 full-range speakers built into a low-profile sound bar that delivers 93dB of high-quality, room-filling sound. Upgrade your audio. Your TV will thank you.', 'Hear. Every. Word. - No need to turn it up. And down. And up again. Dialogue EQ Mode makes it easy to understand what people are saying without you having to constantly reach for the remote.', 'It’s psychoacoustics, but you can call it magic. - An optical illusion for your ears, DTS Virtual:X technology delivers the sensation of speakers placed throughout your room, above and behind you, for a sonic landscape that’s remarkably lifelike.', 'This bar fits right in. - At just 30 inches in width, the low-profile sound bar pairs perfectly with small- to medium-sized televisions.', 'One-wire simplicity. - Enjoy high-quality Dolby Audio from your television with the simplicity of a single optical digital audio connection. We even include the cable in the box to further simplify your life.', 'Pair. Connect. Stream. Bliss. - Wirelessly stream your favorite music, podcasts, audiobooks and more directly to your sound bar from a compatible mobile device using the included Bluetooth functionality. It’s the Bluetooth you know and love, only better, because it sounds fantastic.', 'Alexa. Google. Siri. You’re free to choose. - Connect your preferred voice assistant via the 3.5mm input (or Bluetooth) to amplify your favorite household companion. The input is always active and ready for a command and will automatically lower the volume of your content so you can hear voice feedback clearly.', 'Control. It’s in your hands now. - Take control with the included full-featured remote. It’s comfortable in the hand, easy to navigate through setup, and adjustment to sound levels and audio modes is a breeze.']",VIZIO,https://target.scene7.com/is/image/Target/GUEST_acf88101-e026-4243-8499-10d9904bc98e,4.38,59.99
1,Samsung 65 Smart 4K UHD TV (UN65AU8000) - Black,Samsung 65 Smart 4K UHD TV (UN65AU8000) - Black,Samsung,Samsung,"[""Dynamic Crystal Color - Witness true-to-life color that can't be found on HDTV, with millions of shades revealed through powerful Dynamic Crystal technology."", ""Crystal Processor 4K - See every detail with stunning clarity. The powerful processor, specifically tuned for Crystal Displays, converts what you're watching to 4K."", 'Smart TV with Multiple Voice Assistants - Access a world of content beyond streaming. Schedule recordings, search, auto-adjust game settings, seamlessly connect with a host of compatible devices across your home, and control your TV with your voice, all with one easy-to-use remote.', '3 HDMI Ports - Connect up to 3 devices with HDMI.', 'HDR - Enjoy a whole new world of vivid color and detail found in newer films and streaming service content with HDR, also known as High Dynamic Range.', ""Motion Xcelerator - Never miss a beat with minimized blur and enhanced motion clarity, and catch all the fast-moving action whether you're watching sports or taking advantage of newer gaming capabilities."", 'AirSlim - Elevate your space with a TV so slim, so expansive, and so powerful it defies logic.', 'Universal Guide - Find your favorite movies and TV shows easily all in one place, with a simple on-screen guide that provides you with tailored recommendations for exploring new content.', 'PC on TV - Easily access your compatible PC, laptop, and mobile content seamlessly on your TV*.', ""Disclaimer: *Available on PC's with Window 10 OS or higher.""]",Samsung,https://target.scene7.com/is/image/Target/GUEST_e7be4481-5435-49f5-b5ca-04d7ae6634df,4.63,549.99
1,TCL 40 Class 3-Series Full HD 1080p LED Smart Roku &#8211; 40S355,TCL 40 Class 3-Series Full HD 1080p LED Smart Roku &#8211; 40S355,TCL,TCL,"['Stream free TV, live news, sports, movies, and more', 'Easy Voice Control works with Siri, Alexa and Hey Google', 'Share videos, photos, and music from your Apple device using AirPlay', 'Works seamlessly with Alto Sound Bars featuring Roku TV ReadyTM', 'Dual-band WiFi & Ethernet port', '4 HDMI inputs (1 ARC)']",TCL,https://target.scene7.com/is/image/Target/GUEST_e224fdf7-6da4-4b4b-ad73-0e7bb037fd11,4.2,199.99
1,LG 43 Class 4K UHD Smart LED TV - 43UQ7590PUB,LG 43 Class 4K UHD Smart LED TV - 43UQ7590PUB,LG Electronics,LG Electronics,"['Real 4K Display w/ 4K UHD Resolution', 'a5 Gen 5 AI Processor 4K: 4K Upscaling & AI Sound', 'Active HDR (HDR10, HLG), Dynamic Tone Mapping, FILMMAKER MODE', 'webOS 22: Netflix, Prime Video, the Apple TV app, Disney+, HBO Max & more', 'LG Channels: Free access to programming on over 300+ LG Channels', 'Game Optimizer, HGIG & ALLM', 'Works with Google Assistant, Amazon Alexa, Apple Airplay 2 & Homekit (separate device purchase necessary)']",LG Electronics,https://target.scene7.com/is/image/Target/GUEST_8e9b9490-55ef-4702-9da2-629e45d6bc14,4.25,249.99
